,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
71,C.M.Gaia,General Torres,488.39,343186,314508,657694,5876,5917,11793,0,0,0,0.27039223304105103,0.24608068809954822,0.25819419934149435
72,General Torres,Jardim do Morro,419.98,384147,350995,735142,5876,5917,11793,0,0,0,0.3026649489109857,0.274628808276693,0.2885981428283002
73,Jardim do Morro,São Bento,795.7,394523,367361,761885,5876,5917,11793,0,0,0,0.3108405082437038,0.2874341490830064,0.2990966409365007
74,São Bento,Aliados,443.38,458129,447700,905830,5876,5916,11792,0,0,0,0.36095464765356694,0.3503530487195429,0.35563586718429235
75,Aliados,Trindade,450.27,486193,477053,963246,5876,5917,11793,0,0,0,0.38306589213112924,0.3732598809487159,0.3781458405610165
76,Trindade,Faria Guimaraes,555.34,428781,412334,841115,5918,5874,11792,0,0,0,0.3354344125886318,0.3249836119798557,0.33022851004657355
77,Faria Guimaraes,Marques,621.04,408615,395800,804415,5918,5876,11794,0,0,0,0.31965842877628065,0.3118464147332433,0.3157663315644028
78,Marques,Combatentes,702.75,333301,315045,648347,5918,5876,11794,0,0,0,0.2607408850576664,0.24822056090062475,0.25450301624752764
79,Combatentes,Salgueiros,471.25,294257,275592,569849,5918,5876,11794,0,0,0,0.23019644288535393,0.21713582744369364,0.22368939045740785
80,Salgueiros,Polo Universitario,775.36,265662,248182,513845,5918,5876,11794,0,0,0,0.20782686649623383,0.195540228486479,0.20170542466603886
81,Polo Universitario,I.P.O.,827.64,196640,190756,387396,5915,5873,11788,0,0,0,0.1539088108763327,0.15037136092645487,0.15214638777185083
82,I.P.O.,Hospital São João,351.77,91402,105331,196733,5908,5866,11774,0,0,0,0.07162489838780839,0.08313050094076348,0.07735717837554701
83,Verdes (E) ,Botica,683.54,30998,55175,86174,1539,1499,3038,0,0,0,0.09324993967001936,0.1704089244009676,0.13132147295234042
84,Botica,Aeroporto,649.66,27276,50809,78086,1537,1499,3036,0,0,0,0.08215967627072479,0.15692560472413705,0.11907473778313091
