,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
75,Aliados,Trindade,450.27,10079,14520,24600,168,205,373,0,0,0,0.2777739644512231,0.32792153127543106,0.3053349596227047
76,Trindade,Faria Guimaraes,555.34,11115,12737,23852,153,199,352,0,0,0,0.33633748858606066,0.2963355551282162,0.3137227591596088
77,Faria Guimaraes,Marques,621.04,10445,12387,22832,152,171,323,0,0,0,0.3181442602190089,0.33536389216520657,0.32726053595523125
78,Marques,Combatentes,702.75,8242,10395,18637,152,169,321,0,0,0,0.2510397281359844,0.2847851560172885,0.2688060125968579
79,Combatentes,Salgueiros,471.25,6918,9601,16520,152,169,321,0,0,0,0.21073219876647142,0.263032306808087,0.23826714661392634
80,Salgueiros,Polo Universitario,775.36,5866,9074,14941,156,169,325,0,0,0,0.1741094464752831,0.24858454038254418,0.21283649530705884
81,Polo Universitario,I.P.O.,827.64,4648,6685,11333,182,165,347,0,0,0,0.11824593474332797,0.18757950635498388,0.15121434775751597
82,I.P.O.,Hospital São João,351.77,2842,3554,6396,186,167,353,0,0,0,0.07074490713605049,0.0985251718784653,0.08388741198586146
83,Verdes (E) ,Botica,683.54,595,1388,1984,91,39,130,0,0,0,0.03029378173404218,0.16486831139623317,0.07066614063269948
84,Botica,Aeroporto,649.66,505,1314,1819,87,39,126,0,0,0,0.026919060304697286,0.15598290598290598,0.0668673934908095
