,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
68,C.M.Gaia,General Torres,488.39,255972,239394,495366,5301,5392,10693,0,0,0,0.2235537674476999,0.20554648220030527,0.21447350166130208
69,General Torres,Jardim do Morro,419.98,279966,261476,541442,5297,5392,10689,0,0,0,0.24469308889973332,0.2245064634886278,0.23451007044930006
70,Jardim do Morro,São Bento,795.7,297426,281785,579212,5297,5390,10687,0,0,0,0.25995400387595424,0.2420341916652339,0.25091612722059886
71,São Bento,Aliados,443.38,362358,353388,715746,5297,5397,10694,0,0,0,0.31670456967740634,0.3031422859843108,0.309860017116004
72,Aliados,Trindade,450.27,386799,378359,765159,5299,5395,10694,0,0,0,0.33793930851959325,0.3246829193279108,0.33125161264441777
73,Trindade,Faria Guimaraes,555.34,265291,242887,508179,5305,5355,10660,0,0,0,0.2315180469756255,0.2099866501200834,0.22070185277661725
74,Faria Guimaraes,Marques,621.04,246524,226949,473473,5300,5355,10655,0,0,0,0.21534257333629836,0.1962072945561193,0.20572554678839983
75,Marques,Combatentes,702.75,187118,168305,355424,5300,5355,10655,0,0,0,0.16345105982035202,0.14550745489503594,0.1544329458480322
76,Combatentes,Salgueiros,471.25,154461,137325,291787,5296,5353,10649,0,0,0,0.1350264722018484,0.11876852744855941,0.12685398856353908
77,Salgueiros,Polo Universitario,775.36,132016,116450,248467,5298,5353,10651,0,0,0,0.11536226043830607,0.10071385240440656,0.10800023544483464
78,Polo Universitario,I.P.O.,827.64,105197,97978,203176,5300,5348,10648,0,0,0,0.09189121882367066,0.08481794963445084,0.08833864147356289
79,I.P.O.,Hospital São João,351.77,56910,64710,121621,5300,5350,10650,0,0,0,0.049712409242316034,0.05599775008653511,0.05286983398565613
80,Verdes (E) ,Botica,683.54,32298,65642,97941,1570,1544,3114,0,0,0,0.0952423393947845,0.19682736647357427,0.14561076643706178
81,Botica,Aeroporto,649.66,28817,61385,90203,1570,1544,3114,0,0,0,0.08497678245700846,0.18406375935521008,0.1341066130064058
82,Sra da Hora,Fonte do Cuco,687.03,217375,258965,476342,1927,1901,3828,3258,3260,3258,0.18812155453847437,0.21591354423755071,0.20197708314420057
